tick,node,drive,phase_tick,coherence,energy,phase
6,1,0,7,0,0,free
6,2,0,7,0,0,free
6,3,0,7,0,0,free
6,4,0,7,0,0,free
6,5,0,7,0,0,free
6,6,0,7,0,0,free
6,7,0,7,0,0,free
6,8,0,7,0,0,free
6,9,0,7,0,0,free
6,10,0,7,0,0,free
6,11,0,7,0,0,free
6,12,0,7,0,0,free
6,13,0,7,0,0,free
6,14,0,7,0,0,free
6,15,0,7,0,0,free
6,16,0,7,0,0,free
6,17,0,7,0,0,free
6,18,0,7,0,0,free
6,19,0,7,0,0,free
6,20,0,7,0,0,free
6,21,0,7,0,0,free
6,22,0,7,0,0,free
6,23,1,7,4,1,formation
6,24,0,7,3,1,liftoff
6,25,0,7,2,1,liftoff
6,26,0,7,1,1,liftoff
6,27,0,7,0,1,coherence
6,28,0,7,0,1,drift
6,29,0,7,0,1,dissolution
6,30,0,7,0,0,free
6,31,0,7,0,0,free
7,0,0,8,0,0,free
7,1,0,8,0,0,free
7,2,0,8,0,0,free
7,3,0,8,0,0,free
7,4,0,8,0,0,free
7,5,0,8,0,0,free
7,6,0,8,0,0,free
7,7,0,8,0,0,free
7,8,0,8,0,0,free
7,9,0,8,0,0,free
7,10,0,8,0,0,free
7,11,0,8,0,0,free
7,12,0,8,0,0,free
7,13,0,8,0,0,free
7,14,0,8,0,0,free
7,15,0,8,0,0,free
7,16,0,8,0,0,free
7,17,0,8,0,0,free
7,18,0,8,0,0,free
7,19,0,8,0,0,free
7,20,0,8,0,0,free
7,21,0,8,0,0,free
7,22,1,8,4,1,formation
7,23,0,8,3,1,liftoff
7,24,0,8,2,1,liftoff
7,25,0,8,1,1,liftoff
7,26,0,8,0,1,coherence
7,27,0,8,0,1,drift
7,28,0,8,0,1,dissolution
7,29,0,8,0,0,free
7,30,0,8,0,0,free
7,31,0,8,0,0,free
8,0,0,9,0,0,free
8,1,0,9,0,0,free
8,2,0,9,0,0,free
8,3,0,9,0,0,free
8,4,0,9,0,0,free
8,5,0,9,0,0,free
8,6,0,9,0,0,free
8,7,0,9,0,0,free
8,8,0,9,0,0,free
8,9,0,9,0,0,free
8,10,0,9,0,0,free
8,11,0,9,0,0,free
8,12,0,9,0,0,free
8,13,0,9,0,0,free
8,14,0,9,0,0,free
8,15,0,9,0,0,free
8,16,0,9,0,0,free
8,17,0,9,0,0,free
8,18,0,9,0,0,free
8,19,0,9,0,0,free
8,20,0,9,0,0,free
8,21,1,9,4,1,formation
8,22,0,9,3,1,liftoff
8,23,0,9,2,1,liftoff
8,24,0,9,1,1,liftoff
8,25,0,9,0,1,coherence
8,26,0,9,0,1,drift
8,27,0,9,0,1,dissolution
8,28,0,9,0,0,free
8,29,0,9,0,0,free
8,30,0,9,0,0,free
8,31,0,9,0,0,free
9,0,0,10,0,0,free
9,1,0,10,0,0,free
9,2,0,10,0,0,free
9,3,0,10,0,0,free
9,4,0,10,0,0,free
9,5,0,10,0,0,free
9,6,0,10,0,0,free
9,7,0,10,0,0,free
9,8,0,10,0,0,free
9,9,0,10,0,0,free
9,10,0,10,0,0,free
9,11,0,10,0,0,free
9,12,0,10,0,0,free
9,13,0,10,0,0,free
9,14,0,10,0,0,free
9,15,0,10,0,0,free
9,16,0,10,0,0,free
9,17,0,10,0,0,free
9,18,0,10,0,0,free
9,19,0,10,0,0,free
9,20,1,10,4,1,formation
9,21,0,10,3,1,liftoff
9,22,0,10,2,1,liftoff
9,23,0,10,1,1,liftoff
9,24,0,10,0,1,coherence
9,25,0,10,0,1,drift
9,26,0,10,0,1,dissolution
9,27,0,10,0,0,free
9,28,0,10,0,0,free
9,29,0,10,0,0,free
9,30,0,10,0,0,free
9,31,0,10,0,0,free
10,0,0,11,0,0,free
10,1,0,11,0,0,free
10,2,0,11,0,0,free
10,3,0,11,0,0,free
10,4,0,11,0,0,free
10,5,0,11,0,0,free
10,6,0,11,0,0,free
10,7,0,11,0,0,free
10,8,0,11,0,0,free
10,9,0,11,0,0,free
10,10,0,11,0,0,free
10,11,0,11,0,0,free
10,12,0,11,0,0,free
10,13,0,11,0,0,free
10,14,0,11,0,0,free
10,15,0,11,0,0,free
10,16,0,11,0,0,free
10,17,0,11,0,0,free
10,18,0,11,0,0,free
10,19,1,11,4,1,formation
10,20,0,11,3,1,liftoff
10,21,0,11,2,1,liftoff
10,22,0,11,1,1,liftoff
10,23,0,11,0,1,coherence
10,24,0,11,0,1,drift
10,25,0,11,0,1,dissolution
10,26,0,11,0,0,free
10,27,0,11,0,0,free
10,28,0,11,0,0,free
10,29,0,11,0,0,free
10,30,0,11,0,0,free
10,31,0,11,0,0,free
11,0,0,12,0,0,free
11,1,0,12,0,0,free
11,2,0,12,0,0,free
11,3,0,12,0,0,free
11,4,0,12,0,0,free
11,5,0,12,0,0,free
11,6,0,12,0,0,free
11,7,0,12,0,0,free
11,8,0,12,0,0,free
11,9,0,12,0,0,free
11,10,0,12,0,0,free
11,11,0,12,0,0,free
11,12,0,12,0,0,free
11,13,0,12,0,0,free
11,14,0,12,0,0,free
11,15,0,12,0,0,free
11,16,0,12,0,0,free
11,17,0,12,0,0,free
11,18,1,12,4,1,formation
11,19,0,12,3,1,liftoff
11,20,0,12,2,1,liftoff
11,21,0,12,1,1,liftoff
11,22,0,12,0,1,coherence
11,23,0,12,0,1,drift
11,24,0,12,0,1,dissolution
11,25,0,12,0,0,free
11,26,0,12,0,0,free
11,27,0,12,0,0,free
11,28,0,12,0,0,free
11,29,0,12,0,0,free
11,30,0,12,0,0,free
11,31,0,12,0,0,free
12,0,0,13,0,0,free
12,1,0,13,0,0,free
12,2,0,13,0,0,free
12,3,0,13,0,0,free
12,4,0,13,0,0,free
12,5,0,13,0,0,free
12,6,0,13,0,0,free
12,7,0,13,0,0,free
12,8,0,13,0,0,free
12,9,0,13,0,0,free
12,10,0,13,0,0,free
12,11,0,13,0,0,free
12,12,0,13,0,0,free
12,13,0,13,0,0,free
12,14,0,13,0,0,free
12,15,0,13,0,0,free
12,16,0,13,0,0,free
12,17,1,13,4,1,formation
12,18,0,13,3,1,liftoff
12,19,0,13,2,1,liftoff
12,20,0,13,1,1,liftoff
12,21,0,13,0,1,coherence
12,22,0,13,0,1,drift
12,23,0,13,0,1,dissolution
12,24,0,13,0,0,free
12,25,0,13,0,0,free
12,26,0,13,0,0,free
12,27,0,13,0,0,free
12,28,0,13,0,0,free
12,29,0,13,0,0,free
12,30,0,13,0,0,free
12,31,0,13,0,0,free
13,0,0,14,0,0,free
13,1,0,14,0,0,free
13,2,0,14,0,0,free
13,3,0,14,0,0,free
13,4,0,14,0,0,free
13,5,0,14,0,0,free
13,6,0,14,0,0,free
13,7,0,14,0,0,free
13,8,0,14,0,0,free
13,9,0,14,0,0,free
13,10,0,14,0,0,free
13,11,0,14,0,0,free
13,12,0,14,0,0,free
13,13,0,14,0,0,free
13,14,0,14,0,0,free
13,15,0,14,0,0,free
13,16,1,14,4,1,formation
13,17,0,14,3,1,liftoff
13,18,0,14,2,1,liftoff
13,19,0,14,1,1,liftoff
13,20,0,14,0,1,coherence
13,21,0,14,0,1,drift
13,22,0,14,0,1,dissolution
13,23,0,14,0,0,free
13,24,0,14,0,0,free
13,25,0,14,0,0,free
13,26,0,14,0,0,free
13,27,0,14,0,0,free
13,28,0,14,0,0,free
13,29,0,14,0,0,free
13,30,0,14,0,0,free
13,31,0,14,0,0,free
14,0,0,15,0,0,free
14,1,0,15,0,0,free
14,2,0,15,0,0,free
14,3,0,15,0,0,free
14,4,0,15,0,0,free
14,5,0,15,0,0,free
14,6,0,15,0,0,free
14,7,0,15,0,0,free
14,8,0,15,0,0,free
14,9,0,15,0,0,free
14,10,0,15,0,0,free
14,11,0,15,0,0,free
14,12,0,15,0,0,free
14,13,0,15,0,0,free
14,14,0,15,0,0,free
14,15,1,15,4,1,formation
14,16,0,15,3,1,liftoff
14,17,0,15,2,1,liftoff
14,18,0,15,1,1,liftoff
14,19,0,15,0,1,coherence
14,20,0,15,0,1,drift
14,21,0,15,0,1,dissolution
14,22,0,15,0,0,free
14,23,0,15,0,0,free
14,24,0,15,0,0,free
14,25,0,15,0,0,free
14,26,0,15,0,0,free
14,27,0,15,0,0,free
14,28,0,15,0,0,free
14,29,0,15,0,0,free
14,30,0,15,0,0,free
14,31,0,15,0,0,free
15,0,0,16,0,0,free
15,1,0,16,0,0,free
15,2,0,16,0,0,free
15,3,0,16,0,0,free
15,4,0,16,0,0,free
15,5,0,16,0,0,free
15,6,0,16,0,0,free
15,7,0,16,0,0,free
15,8,0,16,0,0,free
15,9,0,16,0,0,free
15,10,0,16,0,0,free
15,11,0,16,0,0,free
15,12,0,16,0,0,free
15,13,0,16,0,0,free
15,14,1,16,4,1,formation
15,15,0,16,3,1,liftoff
15,16,0,16,2,1,liftoff
15,17,0,16,1,1,liftoff
15,18,0,16,0,1,coherence
15,19,0,16,0,1,drift
15,20,0,16,0,1,dissolution
15,21,0,16,0,0,free
15,22,0,16,0,0,free
15,23,0,16,0,0,free
15,24,0,16,0,0,free
15,25,0,16,0,0,free
15,26,0,16,0,0,free
15,27,0,16,0,0,free
15,28,0,16,0,0,free
15,29,0,16,0,0,free
15,30,0,16,0,0,free
15,31,0,16,0,0,free
16,0,0,17,0,0,free
16,1,0,17,0,0,free
16,2,0,17,0,0,free
16,3,0,17,0,0,free
16,4,0,17,0,0,free
16,5,0,17,0,0,free
16,6,0,17,0,0,free
16,7,0,17,0,0,free
16,8,0,17,0,0,free
16,9,0,17,0,0,free
16,10,0,17,0,0,free
16,11,0,17,0,0,free
16,12,0,17,0,0,free
16,13,1,17,4,1,formation
16,14,0,17,3,1,liftoff
16,15,0,17,2,1,liftoff
16,16,0,17,1,1,liftoff
16,17,0,17,0,1,coherence
16,18,0,17,0,1,drift
16,19,0,17,0,1,dissolution
16,20,0,17,0,0,free
16,21,0,17,0,0,free
16,22,0,17,0,0,free
16,23,0,17,0,0,free
16,24,0,17,0,0,free
16,25,0,17,0,0,free
16,26,0,17,0,0,free
16,27,0,17,0,0,free
16,28,0,17,0,0,free
16,29,0,17,0,0,free
16,30,0,17,0,0,free
16,31,0,17,0,0,free
17,0,0,18,0,0,free
17,1,0,18,0,0,free
17,2,0,18,0,0,free
17,3,0,18,0,0,free
17,4,0,18,0,0,free
17,5,0,18,0,0,free
17,6,0,18,0,0,free
17,7,0,18,0,0,free
17,8,0,18,0,0,free
17,9,0,18,0,0,free
17,10,0,18,0,0,free
17,11,0,18,0,0,free
17,12,1,18,4,1,formation
17,13,0,18,3,1,liftoff
17,14,0,18,2,1,liftoff
17,15,0,18,1,1,liftoff
17,16,0,18,0,1,coherence
17,17,0,18,0,1,drift
17,18,0,18,0,1,dissolution
17,19,0,18,0,0,free
17,20,0,18,0,0,free
17,21,0,18,0,0,free
17,22,0,18,0,0,free
17,23,0,18,0,0,free
17,24,0,18,0,0,free
17,25,0,18,0,0,free
17,26,0,18,0,0,free
17,27,0,18,0,0,free
17,28,0,18,0,0,free
17,29,0,18,0,0,free
17,30,0,18,0,0,free
17,31,0,18,0,0,free
18,0,0,19,0,0,free
18,1,0,19,0,0,free
18,2,0,19,0,0,free
18,3,0,19,0,0,free
18,4,0,19,0,0,free
18,5,0,19,0,0,free
18,6,0,19,0,0,free
18,7,0,19,0,0,free
18,8,0,19,0,0,free
18,9,0,19,0,0,free
18,10,0,19,0,0,free
18,11,1,19,4,1,formation
18,12,0,19,3,1,liftoff
18,13,0,19,2,1,liftoff
18,14,0,19,1,1,liftoff
18,15,0,19,0,1,coherence
18,16,0,19,0,1,drift
18,17,0,19,0,1,dissolution
18,18,0,19,0,0,free
18,19,0,19,0,0,free
18,20,0,19,0,0,free
18,21,0,19,0,0,free
18,22,0,19,0,0,free
18,23,0,19,0,0,free
18,24,0,19,0,0,free
18,25,0,19,0,0,free
18,26,0,19,0,0,free
18,27,0,19,0,0,free
18,28,0,19,0,0,free
18,29,0,19,0,0,free
18,30,0,19,0,0,free
18,31,0,19,0,0,free
19,0,0,20,0,0,free
19,1,0,20,0,0,free
19,2,0,20,0,0,free
19,3,0,20,0,0,free
19,4,0,20,0,0,free
19,5,0,20,0,0,free
19,6,0,20,0,0,free
19,7,0,20,0,0,free
19,8,0,20,0,0,free
19,9,0,20,0,0,free
19,10,1,20,4,1,formation
19,11,0,20,3,1,liftoff
19,12,0,20,2,1,liftoff
19,13,0,20,1,1,liftoff
19,14,0,20,0,1,coherence
19,15,0,20,0,1,drift
19,16,0,20,0,1,dissolution
19,17,0,20,0,0,free
19,18,0,20,0,0,free
19,19,0,20,0,0,free
19,20,0,20,0,0,free
19,21,0,20,0,0,free
19,22,0,20,0,0,free
19,23,0,20,0,0,free
19,24,0,20,0,0,free
19,25,0,20,0,0,free
19,26,0,20,0,0,free
19,27,0,20,0,0,free
19,28,0,20,0,0,free
19,29,0,20,0,0,free
19,30,0,20,0,0,free
19,31,0,20,0,0,free
20,0,0,21,0,0,free
20,1,0,21,0,0,free
20,2,0,21,0,0,free
20,3,0,21,0,0,free
20,4,0,21,0,0,free
20,5,0,21,0,0,free
20,6,0,21,0,0,free
20,7,0,21,0,0,free
20,8,0,21,0,0,free
20,9,1,21,4,1,formation
20,10,0,21,3,1,liftoff
20,11,0,21,2,1,liftoff
20,12,0,21,1,1,liftoff
20,13,0,21,0,1,coherence
20,14,0,21,0,1,drift
20,15,0,21,0,1,dissolution
20,16,0,21,0,0,free
20,17,0,21,0,0,free
20,18,0,21,0,0,free
20,19,0,21,0,0,free
20,20,0,21,0,0,free
20,21,0,21,0,0,free
20,22,0,21,0,0,free
20,23,0,21,0,0,free
20,24,0,21,0,0,free
20,25,0,21,0,0,free
20,26,0,21,0,0,free
20,27,0,21,0,0,free
20,28,0,21,0,0,free
20,29,0,21,0,0,free
20,30,0,21,0,0,free
20,31,0,21,0,0,free
21,0,0,22,0,0,free
21,1,0,22,0,0,free
21,2,0,22,0,0,free
21,3,0,22,0,0,free
21,4,0,22,0,0,free
21,5,0,22,0,0,free
21,6,0,22,0,0,free
21,7,0,22,0,0,free
21,8,1,22,4,1,formation
21,9,0,22,3,1,liftoff
21,10,0,22,2,1,liftoff
21,11,0,22,1,1,liftoff
21,12,0,22,0,1,coherence
21,13,0,22,0,1,drift
21,14,0,22,0,1,dissolution
21,15,0,22,0,0,free
21,16,0,22,0,0,free
21,17,0,22,0,0,free
21,18,0,22,0,0,free
21,19,0,22,0,0,free
21,20,0,22,0,0,free
21,21,0,22,0,0,free
21,22,0,22,0,0,free
21,23,0,22,0,0,free
21,24,0,22,0,0,free
21,25,0,22,0,0,free
21,26,0,22,0,0,free
21,27,0,22,0,0,free
21,28,0,22,0,0,free
21,29,0,22,0,0,free
21,30,0,22,0,0,free
21,31,0,22,0,0,free
22,0,0,23,0,0,free
22,1,0,23,0,0,free
22,2,0,23,0,0,free
22,3,0,23,0,0,free
22,4,0,23,0,0,free
22,5,0,23,0,0,free
22,6,0,23,0,0,free
22,7,1,23,4,1,formation
22,8,0,23,3,1,liftoff
22,9,0,23,2,1,liftoff
22,10,0,23,1,1,liftoff
22,11,0,23,0,1,coherence
22,12,0,23,0,1,drift
22,13,0,23,0,1,dissolution
22,14,0,23,0,0,free
22,15,0,23,0,0,free
22,16,0,23,0,0,free
22,17,0,23,0,0,free
22,18,0,23,0,0,free
22,19,0,23,0,0,free
22,20,0,23,0,0,free
22,21,0,23,0,0,free
22,22,0,23,0,0,free
22,23,0,23,0,0,free
22,24,0,23,0,0,free
22,25,0,23,0,0,free
22,26,0,23,0,0,free
22,27,0,23,0,0,free
22,28,0,23,0,0,free
22,29,0,23,0,0,free
22,30,0,23,0,0,free
22,31,0,23,0,0,free
23,0,0,24,0,0,free
23,1,0,24,0,0,free
